"Time","State","Local","Remote","OwningPid","ProcessName","Sample"
"2026-04-05T23:44:46.8842989+08:00","Established","127.0.0.1:20122","127.0.0.1:13223","6612","sing-box","5"
"2026-04-05T23:44:46.8842989+08:00","Established","127.0.0.1:20122","127.0.0.1:2647","6612","sing-box","5"
"2026-04-05T23:44:46.8530466+08:00","Established","127.0.0.1:20122","127.0.0.1:4962","6612","sing-box","5"
"2026-04-05T23:44:46.9248553+08:00","Established","127.0.0.1:20122","127.0.0.1:5248","6612","sing-box","5"
"2026-04-05T23:44:46.8530466+08:00","Established","127.0.0.1:20122","127.0.0.1:5504","6612","sing-box","5"
"2026-04-05T23:44:46.8686712+08:00","Established","127.0.0.1:20122","127.0.0.1:7195","6612","sing-box","5"
"2026-04-05T23:44:46.8999330+08:00","Established","127.0.0.1:20122","127.0.0.1:9423","6612","sing-box","5"
"2026-04-05T23:44:46.8686712+08:00","Established","127.0.0.1:20122","127.0.0.1:9668","6612","sing-box","5"
"2026-04-05T23:44:46.8217967+08:00","Listen","127.0.0.1:20123","0.0.0.0:0","6612","sing-box","5"
"2026-04-05T23:44:46.8061660+08:00","Established","127.0.0.1:20123","127.0.0.1:1206","6612","sing-box","5"
"2026-04-05T23:44:46.8061660+08:00","Established","127.0.0.1:20123","127.0.0.1:3775","6612","sing-box","5"
"2026-04-05T23:44:46.8217967+08:00","Established","127.0.0.1:20123","127.0.0.1:8471","6612","sing-box","5"
"2026-04-05T23:44:47.4064346+08:00","Listen","127.0.0.1:9080","0.0.0.0:0","6620","NahimicService","5"
"2026-04-05T23:44:47.7029766+08:00","Listen","127.0.0.1:1546","0.0.0.0:0","6672","jhi_service","5"
"2026-04-05T23:44:47.3439726+08:00","Established","127.0.0.1:10296","127.0.0.1:31104","6796","RestService","5"
"2026-04-05T23:44:47.3439726+08:00","Established","127.0.0.1:10303","127.0.0.1:31104","6796","RestService","5"
"2026-04-05T23:44:46.7911601+08:00","Listen","127.0.0.1:31100","0.0.0.0:0","6796","RestService","5"
"2026-04-05T23:44:46.6881346+08:00","Established","::1:50052","::1:1549","6832","LicenseService","5"
"2026-04-05T23:44:46.7504661+08:00","Listen","127.0.0.1:49890","0.0.0.0:0","7040","XxYunHelperService","5"
"2026-04-05T23:44:46.7434076+08:00","Established","::1:1549","::1:50052","7376","CoordService","5"
"2026-04-05T23:44:46.7901762+08:00","Established","127.0.0.1:31104","127.0.0.1:10296","7376","CoordService","5"
"2026-04-05T23:44:46.7817179+08:00","Established","127.0.0.1:31104","127.0.0.1:10303","7376","CoordService","5"
"2026-04-05T23:44:47.3283142+08:00","Established","127.0.0.1:11625","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.3127263+08:00","Established","127.0.0.1:12215","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.2970580+08:00","Established","127.0.0.1:12824","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.5472741+08:00","Established","127.0.0.1:2647","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.5209883+08:00","Established","127.0.0.1:4962","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.5001875+08:00","Established","127.0.0.1:5248","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.4689352+08:00","Established","127.0.0.1:5504","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.4533109+08:00","Established","127.0.0.1:7195","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.3908122+08:00","Established","127.0.0.1:9423","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.3752394+08:00","Established","127.0.0.1:9668","127.0.0.1:20122","8000","chrome","5"
"2026-04-05T23:44:47.6717265+08:00","Established","127.0.0.1:1551","127.0.0.1:1552","8076","mysqld","5"
"2026-04-05T23:44:47.6717265+08:00","Established","127.0.0.1:1552","127.0.0.1:1551","8076","mysqld","5"
"2026-04-05T23:44:47.6560944+08:00","Established","127.0.0.1:1553","127.0.0.1:1554","8076","mysqld","5"
"2026-04-05T23:44:47.6560944+08:00","Established","127.0.0.1:1554","127.0.0.1:1553","8076","mysqld","5"
"2026-04-05T23:44:47.5785565+08:00","Established","127.0.0.1:1801","127.0.0.1:13688","12100","GCUService","5"
"2026-04-05T23:44:46.6881346+08:00","Listen","::1:42050",":::0","13772","OneDrive.Sync.Service","5"
"2026-04-05T23:44:47.2189674+08:00","Established","127.0.0.1:13223","127.0.0.1:20122","14012","smartscreen","5"
"2026-04-05T23:44:47.2970580+08:00","Listen","127.0.0.1:12900","0.0.0.0:0","14572","AndrowsStore","5"
"2026-04-05T23:44:46.8061660+08:00","Listen","127.0.0.1:25120","0.0.0.0:0","14572","AndrowsStore","5"
"2026-04-05T23:44:47.5001875+08:00","Listen","127.0.0.1:5283","0.0.0.0:0","14572","AndrowsStore","5"
"2026-04-05T23:44:47.5422758+08:00","Established","127.0.0.1:2651","127.0.0.1:13688","15116","OSDTpDetect","5"
"2026-04-05T23:44:46.7193842+08:00","Listen","::1:1567",":::0","15828","AndrowsDlSvr","5"
"2026-04-05T23:44:46.7193842+08:00","Established","::1:1567","::1:6209","15828","AndrowsDlSvr","5"
"2026-04-05T23:44:47.6099613+08:00","Listen","127.0.0.1:1567","0.0.0.0:0","15828","AndrowsDlSvr","5"
"2026-04-05T23:44:46.7037602+08:00","Established","::1:6209","::1:1567","16212","CefRendererProcess","5"
"2026-04-05T23:44:47.3439726+08:00","Established","127.0.0.1:10367","127.0.0.1:10368","16224","Tomcat9","5"
"2026-04-05T23:44:47.3283142+08:00","Established","127.0.0.1:10368","127.0.0.1:10367","16224","Tomcat9","5"
"2026-04-05T23:44:47.4376872+08:00","Listen","127.0.0.1:8005","0.0.0.0:0","16224","Tomcat9","5"
"2026-04-05T23:44:46.7660922+08:00","Listen","127.0.0.1:49350","0.0.0.0:0","20444","esrv_svc","5"
"2026-04-05T23:44:46.7660922+08:00","CloseWait","127.0.0.1:49350","127.0.0.1:9672","20444","esrv_svc","5"
"2026-04-05T23:44:47.3596122+08:00","FinWait2","127.0.0.1:9672","127.0.0.1:49350","20444","esrv_svc","5"
"2026-04-05T23:44:46.7504661+08:00","Bound","0.0.0.0:8492","0.0.0.0:0","23508","SystrayComponent","5"
