"Proto","Local","Remote","State","OwningProcess"
"TCP","127.0.0.1:7420","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:7422","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:7423","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8005","0.0.0.0:0","Listen","16224"
"TCP","127.0.0.1:8059","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:8404","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:8406","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8407","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8408","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8548","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8549","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:9080","0.0.0.0:0","Listen","6620"
"TCP","127.0.0.1:9244","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:9520","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:9832","127.0.0.1:20122","CloseWait","8000"
"TCP","127.0.0.1:9840","127.0.0.1:20123","Established","4288"
"TCP","127.0.0.1:9949","127.0.0.1:20122","Established","8000"
